"SBO SIN RECUPERACIÓN DE SISTEMAS"
"TIME","PPS","QCORE","MSTPS","TGPS","MWCR","XWCOR","WSTEAM","MWLP","TWLP","WJETO","WCORI","WWRC","WCRD","MH2GEN(2)","MH2GEN(3)","MH2GEN(4)","MH2GEN(5)","WWRV","WGRV","WWSV","WGSV","WWBRK","WGBRK","WWLOCA","WGLOC","WFW","WGINST","WSCS","MWCRD",
" SECONDS","PA","W","KG","K","KG","M","KG/S","KG","K","KG/S","KG/S","KG/S","KG/S","KG","KG","KG","KG","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG/S","KG",
 0.0000000E+00, 7.0432694E+06, 2.3170000E+09, 5.9354398E+03, 5.5942347E+02, 3.7954260E+04, 1.5024500E+01, 1.2617699E+03, 6.2681346E+04, 5.4910872E+02, 7.7489097E+03, 7.8220267E+03, 4.1062467E+04, 2.3832162E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.2568551E+03, 0.0000000E+00, 0.0000000E+00, 1.8808678E+04,
 1.0000000E-03, 7.0450713E+06, 2.3168557E+09, 5.9354394E+03, 5.5944539E+02, 3.7919756E+04, 1.5024500E+01, 1.2620390E+03, 6.2681273E+04, 5.4910925E+02, 7.7489097E+03, 7.8220267E+03, 4.1063466E+04, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.2592384E+03, 0.0000000E+00, 0.0000000E+00, 1.8808678E+04,
 6.0828053E+01, 7.8366495E+06, 8.2741948E+07, 7.1629431E+03, 5.7063345E+02, 5.0313942E+04, 1.3930736E+01, 1.2278977E+01, 6.1300910E+04, 5.5846219E+02,-4.9470012E+00,-2.6644758E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8797187E+04,
 1.2102951E+02, 7.7905011E+06, 7.2527672E+07, 7.2453565E+03, 5.6976535E+02, 4.5210038E+04, 1.4026853E+01, 1.0500139E+02, 6.1083483E+04, 5.5988776E+02, 2.1566629E+01, 1.8662678E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.4756239E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8774964E+04,
 1.8186392E+02, 7.4404187E+06, 6.7077170E+07, 7.1676787E+03, 5.6507731E+02, 4.3185283E+04, 1.4618197E+01, 1.0477505E+01, 6.1104843E+04, 5.5974275E+02, 7.4715651E+01, 7.4966836E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8753233E+04,
 2.4203532E+02, 7.6121168E+06, 6.3543067E+07, 7.4090772E+03, 5.6790048E+02, 4.2785006E+04, 1.3719006E+01, 1.3748982E+01, 6.1119358E+04, 5.5964690E+02, 2.0848948E+01, 2.1005834E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8731745E+04,
 3.0284223E+02, 7.7673271E+06, 6.0913313E+07, 7.6529544E+03, 5.7014900E+02, 4.2190871E+04, 1.3116778E+01, 1.3336476E+01, 6.1132064E+04, 5.5956418E+02, 1.5690412E+01, 1.5849511E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8711190E+04,
 3.6306416E+02, 7.8797360E+06, 5.8847803E+07, 7.8585860E+03, 5.7186909E+02, 4.1583931E+04, 1.2673749E+01, 1.4004148E+01, 6.1143772E+04, 5.5948802E+02, 1.4148151E+01, 1.4302078E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8692206E+04,
 4.2323669E+02, 7.9790897E+06, 5.7116524E+07, 8.0662365E+03, 5.7314796E+02, 4.0956775E+04, 1.2340984E+01, 1.3805122E+01, 6.1156296E+04, 5.5940656E+02, 1.2660835E+01, 1.2805348E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8674428E+04,
 4.8398501E+02, 7.5445153E+06, 5.5595239E+07, 7.8714750E+03, 5.6590207E+02, 3.9994570E+04, 1.3557911E+01, 1.8941795E+02, 6.1174764E+04, 5.5929462E+02, 1.3949751E+01, 1.2535472E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.4130496E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8657913E+04,
 5.4413954E+02, 7.1361659E+06, 5.4260789E+07, 7.6633110E+03, 5.5979493E+02, 3.8245760E+04, 1.4996190E+01, 1.7797457E+02, 6.1191907E+04, 5.5918227E+02, 4.7035055E+02, 4.7003425E+02, 6.2811470E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 2.2828577E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8643467E+04,
 6.0464139E+02, 7.3557679E+06, 5.3052324E+07, 7.9501150E+03, 5.6391293E+02, 3.8047664E+04, 1.4331987E+01, 4.9701303E+00, 6.1200948E+04, 5.5911760E+02, 3.8405979E+01, 3.8501924E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8629605E+04,
 6.6521822E+02, 7.3971970E+06, 5.1950588E+07, 8.0968470E+03, 5.6448357E+02, 3.7521162E+04, 1.3870501E+01, 1.5611264E+01, 6.1214631E+04, 5.5902811E+02, 3.8320082E+01, 3.8543741E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8616202E+04,
 7.2546129E+02, 7.4279841E+06, 5.0943917E+07, 8.2289661E+03, 5.6500376E+02, 3.6973089E+04, 1.3260756E+01, 1.4757998E+01, 6.1227342E+04, 5.5894484E+02, 3.3891992E+01, 3.4152301E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8603839E+04,
 7.8633212E+02, 7.4539994E+06, 5.0002990E+07, 8.3566079E+03, 5.6544285E+02, 3.6446619E+04, 1.2561787E+01, 1.3674340E+01, 6.1237750E+04, 5.5887643E+02, 3.2424834E+01, 3.2660500E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8592181E+04,
 8.4723141E+02, 7.4657677E+06, 4.9117254E+07, 8.4715909E+03, 5.6563214E+02, 3.5892527E+04, 1.2115791E+01, 1.3613573E+01, 6.1242306E+04, 5.5884650E+02, 3.2191112E+01, 3.2418268E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8581227E+04,
 9.0742478E+02, 7.4646056E+06, 4.8295580E+07, 8.5719368E+03, 5.6562382E+02, 3.5325840E+04, 1.1835369E+01, 1.3869816E+01, 6.1241857E+04, 5.5884947E+02, 3.2560073E+01, 3.2777246E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8571052E+04,
 9.6784440E+02, 7.4620417E+06, 4.7520748E+07, 8.6701051E+03, 5.6557838E+02, 3.4776457E+04, 1.1524196E+01, 1.3611260E+01, 6.1237627E+04, 5.5887727E+02, 3.2847785E+01, 3.3050797E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8561359E+04,
 1.0286892E+03, 7.4580370E+06, 4.6788886E+07, 8.7642561E+03, 5.6554518E+02, 3.3964239E+04, 1.1018710E+01, 1.3866942E+01, 6.1230985E+04, 5.5892096E+02, 3.9947444E+01, 4.0130449E+01, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8552026E+04,
 1.0894953E+03, 7.4567527E+06, 4.6101535E+07, 8.8589987E+03, 5.6552921E+02, 3.2840167E+04, 1.0235550E+01, 1.3621610E+01, 6.1224080E+04, 5.5896685E+02,-1.5450718E+02,-1.5194411E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8543025E+04,
 1.1503834E+03, 7.4538591E+06, 4.5449352E+07, 8.9512036E+03, 5.6549710E+02, 3.1180089E+04, 9.9124516E+00, 1.4663084E+01, 6.1209494E+04, 5.5906417E+02,-1.0451868E+02,-1.0338389E+02, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 0.0000000E+00, 1.8534379E+04,
